sanctionCountry,sanctionedName,sanctionReason,sanctionList,sdnType
Cuba,AEROCARIBBEAN AIRLINES,Sanctioned by OFAC,OFAC,Entity
United Kingdom,"ANGLO-CARIBBEAN CO., LTD.",Sanctioned by OFAC,OFAC,Entity
Switzerland,BANCO NACIONAL DE CUBA,Sanctioned by OFAC,OFAC,Entity
Panama,BOUTIQUE LA MAISON,Sanctioned by OFAC,OFAC,Entity
Spain,CASA DE CUBA,Sanctioned by OFAC,OFAC,Entity
Panama,"CECOEX, S.A.",Sanctioned by OFAC,OFAC,Entity
Mexico,CIMEX,Sanctioned by OFAC,OFAC,Entity
Spain,CIMEX IBERICA,Sanctioned by OFAC,OFAC,Entity
Panama,"CIMEX, S.A.",Sanctioned by OFAC,OFAC,Entity
Spain,"COMERCIAL IBEROAMERICANA, S.A.",Sanctioned by OFAC,OFAC,Entity
Panama,"COMERCIAL CIMEX, S.A.",Sanctioned by OFAC,OFAC,Entity
Spain,"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",Sanctioned by OFAC,OFAC,Entity
France,COMERCIALIZACION DE PRODUCTOS VARIOS,Sanctioned by OFAC,OFAC,Entity
Spain,COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,Sanctioned by OFAC,OFAC,Entity
Panama,"CORPORACION CIMEX, S.A.",Sanctioned by OFAC,OFAC,Entity
Italy,COTEI,Sanctioned by OFAC,OFAC,Entity
Argentina,"CRYMSA - ARGENTINA, S.A.",Sanctioned by OFAC,OFAC,Entity
Mexico,CUBACANCUN CIGARS AND GIFT SHOPS,Sanctioned by OFAC,OFAC,Entity
Spain,CUBAEXPORT,Sanctioned by OFAC,OFAC,Entity
Spain,CUBAFRUTAS,Sanctioned by OFAC,OFAC,Entity
Italy,CUBAN CIGARS TRADE,Sanctioned by OFAC,OFAC,Entity
Mexico,CUBANATUR,Sanctioned by OFAC,OFAC,Entity
Spain,CUBATABACO,Sanctioned by OFAC,OFAC,Entity
Mexico,"CUMEXINT, S.A.",Sanctioned by OFAC,OFAC,Entity
Switzerland,"DELVEST HOLDING, S.A.",Sanctioned by OFAC,OFAC,Entity
Spain,EDICIONES CUBANAS,Sanctioned by OFAC,OFAC,Entity
Panama,"EDYJU, S.A.",Sanctioned by OFAC,OFAC,Entity
Guyana,EMPRESA CUBANA DE AVIACION,Sanctioned by OFAC,OFAC,Entity
France,EMPRESA CUBANA DE PESCADOS Y MARISCOS,Sanctioned by OFAC,OFAC,Entity
Argentina,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,Sanctioned by OFAC,OFAC,Entity
United Kingdom,ETCO INTERNATIONAL COMMODITIES LTD.,Sanctioned by OFAC,OFAC,Entity
Japan,"ETCO INTERNATIONAL COMPANY, LIMITED",Sanctioned by OFAC,OFAC,Entity
Canada,"GALAX TRADING CO., LTD.",Sanctioned by OFAC,OFAC,Entity
